Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256	Added Date
NPUP10006	US	Street Fighter® Birdie Avatar	http://zeus.dl.playstation.net/cdn/UP0102/NPUP10006_00/wUN14eRYslGODG2oelmAIJbh9LW3b7wXITC7sTrtuWVfMB1xQSOFWx1wi0eDiHn3HIxjUTs1kyncOKYtuxmH7nfrdpAdfVfI8R78g.pkg		UP0102-NPUP10006_00-AVASFBIRDIE00000	2023-06-14 20:43:02		102400		2023-06-14 20:43:02
BLUS30722	US	STREET FIGHTER® X TEKKEN® Yoshimitsu Avatar	http://zeus.dl.playstation.net/cdn/UP0102/BLUS30722_00/fTTQfidEeUwyYlmUzGvNZkpmbftjvHIDlfjIHuLmNylbyvyOMOcAdmOMsiBSOSsqFrBoQYFcRnvozTmBIQlasGmJYOKRTIllKBkov.pkg		UP0102-BLUS30722_00-AVASFTKYOSHIMITS	2023-06-14 20:43:02		135987		2023-06-14 20:43:02
NPUP10009	US	Super Street Fighter® 2 Chun-Li Avatar	http://zeus.dl.playstation.net/cdn/UP0102/NPUP10009_00/JggtNTMePMHoSJqWkMLHxXeCdIkOUnCRsxpjYrMEkBHjvnrYYFftXtuDXevUENLsoZIJWONNkPVsCnqajfrcceTXjvSKeJljqhjZW.pkg		UP0102-NPUP10009_00-AVASSF2CHUNLI000	2023-06-14 20:43:02		102400		2023-06-14 20:43:02
BLUS30453	US	Super Street Fighter® IV 8-bit Fei Long Avatar	http://zeus.dl.playstation.net/cdn/UP0102/BLUS30453_00/AkPwpoTVEoOeHTFFfcbrTtSKXJaFuDvEhNWjATbdyHAtLeVYPSAsCuDxiNZBewlWrDpVPZWsaQAdhiBmdmGjvmpMhrFtdUtmavxXu.pkg		UP0102-BLUS30453_00-AVASS48BITFEILON	2023-06-14 20:43:02		102400		2023-06-14 20:43:02
NPUP10005	US	Street Fighter® Alpha 3 Dhalsim Avatar	http://zeus.dl.playstation.net/cdn/UP0102/NPUP10005_00/DzFRHrDhAYRtXXhcqJBkjXOtDdiQdlyFIYTzuWNDsLgWLeXbahuAzaiIbVlpMKrhmRNsjkfzaXuUmWvggzEmdLqyMRSbFYeEjRbUA.pkg		UP0102-NPUP10005_00-AVASFALHPA3DHALS	2023-06-14 20:43:02		102400		2023-06-14 20:43:02
BLUS30722	US	STREET FIGHTER® X TEKKEN® Raven Avatar	http://zeus.dl.playstation.net/cdn/UP0102/BLUS30722_00/pcMPkRqdxLrzrVGUwOQoZQHHMHVVxhiPwUgNBvAdXECZojomdUoVvbxNkKStjnddRWiDQMUpSTfqFakzeTHVEtaxpeBxZoTQSDxfm.pkg		UP0102-BLUS30722_00-AVASFTKRAVEN0000	2023-06-14 20:43:02		120627		2023-06-14 20:43:02
NPUP10005	US	Street Fighter® Alpha 3 Fei Long Avatar	http://zeus.dl.playstation.net/cdn/UP0102/NPUP10005_00/RtiYIknAPGDCKSMHyewsOiqoeamnhygSKcrmMCyUbFdHKbCnQRWyhknovuMTZgpqPdeUglUorjDaMnlViaTEmslZxVgEFNNZbZwNq.pkg		UP0102-NPUP10005_00-AVASFALPHA3FEILO	2023-06-14 20:43:02		102400		2023-06-14 20:43:02
BLUS30453	US	Super Street Fighter® IV 8-bit Dan Avatar	http://zeus.dl.playstation.net/cdn/UP0102/BLUS30453_00/mrUHiFqQlgMvesDXNeIqIjLIVFctOTPNTpZxmSrigtuHuJuWWjtYsADqqCcRVPvcgvvmTXHIJUDNUQhmHgOiHMdahdrEZRQmzrLuu.pkg		UP0102-BLUS30453_00-AVASSFIV8BITDAN0	2023-06-14 20:43:02		102400		2023-06-14 20:43:02
BLUS30453	US	Super Street Fighter® IV Ryu Avatar	http://zeus.dl.playstation.net/cdn/UP0102/BLUS30453_00/l681J7D4NPqDKx5R636BRCMH9UgPiV4FV0kOnAoXTlHi5JNALYifyXQwKQdWuAKHPYF3L6dpQTML3DQYmWSxl9XvvwCBLTaqsnFlN.pkg		UP0102-BLUS30453_00-AVASSFIVRYU00000	2023-06-14 20:43:02		114585		2023-06-14 20:43:02
NPUP10005	US	Street Fighter® Alpha 3 Adon Avatar	http://zeus.dl.playstation.net/cdn/UP0102/NPUP10005_00/GzerMpwbOBuyIQElmkmPOjYOwcAnyDbSRYnYjBdGYDPpRcwvlHFMxdrjtGuvcwRHcZURvFoIqsqQEDMzZjHqLdafgrHhGSkZRVBsG.pkg		UP0102-NPUP10005_00-AVASFALHPA3ADON0	2023-06-14 20:43:02		102400		2023-06-14 20:43:02
BLUS30453	US	Super Street Fighter® IV 8-bit Guy Avatar	http://zeus.dl.playstation.net/cdn/UP0102/BLUS30453_00/kecssnaTSAPTFWigBYrGpEUrdboFvegOjfUXTPfnHdPUbCsJCfxPDPAtlDZEPcnvsOnLwMItBmIvezvbsvIPqZjRNPpdtehsfMkJe.pkg		UP0102-BLUS30453_00-AVASS48BITGUY000	2023-06-14 20:43:02		102400		2023-06-14 20:43:02
BLUS30453	US	Super Street Fighter® IV Dudley Avatar	http://zeus.dl.playstation.net/cdn/UP0102/BLUS30453_00/ODaKIBksKEbC18HLLcCaMLPGc9tKgIuEN19nSdbpjIRAVidSNt06IjNyQNdC4MT5TrSluhh98m1iCfai6cNnQR7jt62tiI71UHnl4.pkg		UP0102-BLUS30453_00-AVASSFIVDUDLEY00	2023-06-14 20:43:02		102400		2023-06-14 20:43:02
