Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
NPUZ00040	US	Deflector	http://zeus.dl.playstation.net/cdn/UP4085/NPUZ00040_00/sPqCHnLFFoohlWSKR6vVd1Nj5lTDcVxrefyE4PtX6mcvd0ykxa7HNPG95FQ5G2T7jgdLsciubP2NHt8qHiCVdVxjASOwTlv4NlTw1.pkg		UP4085-NPUZ00040_00-0000111122223333			5976883	
NPUZ00041	US	Route 66	http://zeus.dl.playstation.net/cdn/UP4085/NPUZ00041_00/8XTI5n7lTFttvq7xg7rxCBSI6M3aHUBQWMa8vSPgjGaxad33ibqIWv0hbp2uQoD7Db4IIiaJQ8wjQHnwYWqCgJg4NTOJcEtpHRHhl.pkg		UP4085-NPUZ00041_00-0000111122223333	2018-08-21 12:20:33		42362470	
NPUZ00042	US	Wackylands Boss	http://zeus.dl.playstation.net/cdn/UP4073/NPUZ00042_00/vOTlIkdsZFhgqSVQQvCOpyEZUfKWTpecdrzEFrbzwLxcAOvcpTicgIiNXBhJIHXwMHVQQZRBIBqwQkZsevlUJqesIxRzNWyvfeMNL.pkg		UP4073-NPUZ00042_00-WACKYLANDSBOSS00			19293798	
NPUZ00043	US	CAR JACK STREETS	http://zeus.dl.playstation.net/cdn/UP4084/NPUZ00043_00/pMBWVQqpgNvnKMisb2s5oPGTPxjsa2G7hhLTd1v4GJmf7283VWEfOphprKJANtbYdRgxEcbs4xhw57uOAQ81QoJF6dOLyclpNiA43.pkg		UP4084-NPUZ00043_00-0000111122223365	2018-08-21 12:20:37		87870668	
NPUZ00044	US	FLICK FISHING	http://zeus.dl.playstation.net/cdn/UP4085/NPUZ00044_00/xxUuKp8kQfdLT3qSMdkXjDo3rV0jNbPEP3qcVhrKph4pfAnDbJORHeWJCWEBbSkjOdXq3aROWBIS8OnkGUNPwGqJKQ4bf4MYRSHqW.pkg		UP4085-NPUZ00044_00-0000111122223333	2018-08-21 12:20:39		42991616	
NPUZ00045	US	Widget's Odyssey	http://zeus.dl.playstation.net/cdn/UP4096/NPUZ00045_00/f47IsWtdshk0W3brQFYyOmeg4AsSMX6bjAug441OPpPmxs0NmrjFMNLAVSmw1BXHWRHD7E2sMQVmMmU9A79vI86WnXlUEda7i5iMU.pkg		UP4096-NPUZ00045_00-WIDGETSODYSSEY01	2018-08-21 12:20:42		53057945	
NPUZ00046	US	Dracula - Undead Awakening	http://zeus.dl.playstation.net/cdn/UP4123/NPUZ00046_00/QklfP2JRm3PN4oFtMNoQnUBtBmdtRBomcXtRpGmGrBUanCGgULTdxE2Mx3LXMwdFblNcIp6icTNJPmwlkEARAuEARCtaFtwmh3KQu.pkg		UP4123-NPUZ00046_00-DRACULAUNDEADA01	2018-08-21 12:20:45		12792627	
NPUZ00047	US	YetiSports	http://zeus.dl.playstation.net/cdn/UP4097/NPUZ00047_00/fNI1rW1D0TQa9LxF7aRVjGPs5TAdIOCH4l8YP1MJb40PCjECk4GvMkd4Hq5LCe2Sb1oLgejyh5xdRgRbTmU9gDQYTCUrGYWVPTkH8.pkg		UP4097-NPUZ00047_00-XENDEXYETIMINIS1	2018-08-21 12:20:54		8074035	
NPUZ00049	US	Tehra Dark Warrior	http://zeus.dl.playstation.net/cdn/UP4128/NPUZ00049_00/aX5WHaPt6sfLc40siE57ynobkbmuPW5XPqeYyBCYGHXDlAkDWAuAi7fcMv4Qb0beRU6iLpSWQMr6GnsbN5f0ke2xl2c5IXi8C1t53.pkg		UP4128-NPUZ00049_00-TEHRADARKWARR100	2018-08-21 12:20:56		52114227	
NPUZ00052	US	Young Thor	http://zeus.dl.playstation.net/cdn/UP4096/NPUZ00052_00/AxUH0GKffsiffRPAcA8SuT6xR2Q2xOiae1u7K6EKsALPFbdMkcEchDVDE7FwACcNRH3eaS9xWCtGEJMcCxWHQSQbYmUc0aymorg9S.pkg		UP4096-NPUZ00052_00-YOUNGTHOR0000001	2018-08-21 12:21:01		56518246	
NPUZ00054	US	Pinball Dreams	http://zeus.dl.playstation.net/cdn/UP4081/NPUZ00054_00/l7LtLiJXugWvG2yEUQlPgft3ASSIwhCNJswxyo3IsA19XuyFBS95NKuCCyLWQCtJbirhD2Ab0whga0O7gXLLqJhC4Bu8d1N7sRIkj.pkg		UP4081-NPUZ00054_00-CRDPINBALLDREAMS	2018-08-21 12:21:08		4718592	
NPUZ00055	US	Widget's Odyssey 2	http://zeus.dl.playstation.net/cdn/UP4096/NPUZ00055_00/vDdWJJKheUbfoNYQ9638TFakdTyW2wRYWdh7hSlmniOTtdL4ywqM2cqiE3y2BoQND4B1RsRiP3gYUUKPgrAQOUroWIVJnqHgSjHqi.pkg		UP4096-NPUZ00055_00-WIDGETSODYSSEY02	2018-08-21 12:21:13		63648563	
NPUZ00057	US	MONSTERS (PROBABLY) STOLE MY PRINCESS!	http://zeus.dl.playstation.net/cdn/UP4131/NPUZ00057_00/O9pGPRAv1aSPYmFcyyLcKwFe2pq0hOIf9sB9w7ei1ER1pdyTYDXxG0aeM3xLD0HgKlYWvijfpIHnYWtgSwsRYuuNUjfxhbfKQqWjH.pkg		UP4131-NPUZ00057_00-MONSTERSPRINCESS	2018-08-21 12:21:16		105172172	
NPUZ00058	US	Supermarket Mania	http://zeus.dl.playstation.net/cdn/UP4076/NPUZ00058_00/hWc9gCDwi8SFK0TLrDiogx0lhEEwfV7Gm69WqyboU2WxV0KWer5BaDF0HG6ehWLlapcqRb0EC2HAjesknlSCrsU6JNWUqElJkvjuu.pkg		UP4076-NPUZ00058_00-SUPERMARKETMANIA	2018-08-21 12:21:20		37643878	
NPUZ00060	US	Retro Cave Flyer	http://zeus.dl.playstation.net/cdn/UP4135/NPUZ00060_00/bj8lHjWtqQlsqhfBBuCT3SoByYaDgkqRBixRpi1s23aNAyMRKFGFhyDqnDUolR6MyjcgKpXq7q5UVgQUf2UxG0imHISGe9RpVqeqm.pkg		UP4135-NPUZ00060_00-RETROCAVEFLYER00	2018-08-21 12:21:23		16252928	
NPUZ00061	US	Mahjong Solitaire	http://zeus.dl.playstation.net/cdn/UP1022/NPUZ00061_00/k2jMARVk9Xkd4vcQ6xqPdckTL11FraCdSNcpTx4xtcmiuIusgsbNyQpIIErNQYmOnse6SqywOuF4CSeaIM0ud0a56EYVVvlSJe7VG.pkg		UP1022-NPUZ00061_00-0000111122223333	2018-08-21 12:21:30		9227468	
NPUZ00062	US	Mahjongg Artifacts	http://zeus.dl.playstation.net/cdn/UP4076/NPUZ00062_00/UC5ULN6dcCM6VjLaJUrbMWHTOHaGP2JcSrS3lQ9SE9eNP8H5HH7qqHshdi9D0iHjmQSovqCgf8o5sEg7d3qGe9CrttOs2Nx1lEFun.pkg		UP4076-NPUZ00062_00-MAHJONGGARTIFACT	2018-08-21 12:21:32		39845888	
NPUZ00063	US	The Mystery of the Crystal Portal	http://zeus.dl.playstation.net/cdn/UP4076/NPUZ00063_00/Epcu53rnMGxy5wNjhh3mDBYNiekSxGMkXD5p2MxRLgpUtAyYQMKmBHYGItPSB4yA4YbfmHl26xis0RXYYAtDaDuQIhBuuuSMHuAae.pkg		UP4076-NPUZ00063_00-CRYSTALPORTALONE	2018-08-21 12:21:35		88290099	
NPUZ00064	US	Reef Aquarium	http://zeus.dl.playstation.net/cdn/UP4088/NPUZ00064_00/cUuJKmCYDRDhDC9yU59VkjxbfNeIIwLKfV2D8f9VhsWbWc21Y5n82WlktRePqSGGxjVPJycSRrx1OaxCBrNcuGBGodjcp8he7P6vP.pkg		UP4088-NPUZ00064_00-REEFAQUARIUMGAME	2018-08-21 12:21:49		8703180	
NPUZ00067	US	Hello Flowerz	http://zeus.dl.playstation.net/cdn/UP4080/NPUZ00067_00/Iq0VuVnsYtwJ61ULYWeyQi3hQFy2P2iF44pHB3F09pMjJhtp6k1bt5NS4l9LOrHwGC2yObwHdpRpCQauhwrihe8dIrodBqL15aonj.pkg		UP4080-NPUZ00067_00-HELLOFLOWERZ0001	2018-08-21 12:22:00		13736345	
NPUZ00068	US	VT Tennis	http://zeus.dl.playstation.net/cdn/UP4080/NPUZ00068_00/iHnFvBFMUV4jO8layffKogFOdNSm4flftCmIxrGy1aM3N4Crafy52i8dmMEqOrvoGgydS15bGl9AVAapve1JHGVqALvLM8pIDCbcL.pkg		UP4080-NPUZ00068_00-VTTENNIS00000001	2018-08-21 12:22:08		27892121	
NPUZ00071	US	NormalTanks	http://zeus.dl.playstation.net/cdn/UP4101/NPUZ00071_00/TEag3615fXqUp5UVXNk4X2cCYUt7R5PxC0qW37fHRI2FKF4Shs1xS8Vl1OrPFDK6OG34ANMapAxUlw9OK0VsOu1kQWKRKd483Yily.pkg		UP4101-NPUZ00071_00-NORMALTANKSGAMES	2018-08-21 12:22:15		10066329	
NPUZ00072	US	Hysteria Project	http://zeus.dl.playstation.net/cdn/UP4082/NPUZ00072_00/1En8GymBkWQNl9eOTlQYml8G2iXikcjY2dQWiJuUQKqyrNk69eqEB0XY98RCB5hvq9hI2myjSWMMex858dxqLOrkGGWJa8MO5O3RN.pkg		UP4082-NPUZ00072_00-SANUKGAMES000007	2018-08-21 12:22:20		86822092	
NPUZ00073	US	Telegraph Crosswords	http://zeus.dl.playstation.net/cdn/UP4082/NPUZ00073_00/rVkPS3vfhIPX5aEwBUSJl6TcXBI3IY88gmNXI9aYKUmv6gqTv5kJNGSK12U0uLss595mIXOrQjxFLVvPK8w9MvDT9Y2eTdilupSxy.pkg		UP4082-NPUZ00073_00-SANUKGAMES000004	2018-08-21 12:22:28		8912896	
NPUZ00074	US	TELEGRAPH SUDOKU & KAKURO	http://zeus.dl.playstation.net/cdn/UP4082/NPUZ00074_00/pOw3W9Rxi39cumSvmwApFaX8lISCvx5XjSnwbCApdNurXBX4D3iL8FM3Jj3wTKLoafPNIVL2xjNFmPNvEY4QPLerG8kiLt9E7NUem.pkg		UP4082-NPUZ00074_00-SANUKGAMES000005	2018-08-21 12:22:34		11324620	
